trade_date,datetime,open,high,low,close,volume,open_oi,close_oi
2020-10-12,2020-10-12 00:00:00+08:00,5798.0,5832.0,5750.0,5832.0,51327.0,0.0,19362.0
2020-10-13,2020-10-13 00:00:00+08:00,5932.0,6042.0,5900.0,6042.0,538024.0,19362.0,77665.0
2020-10-14,2020-10-14 00:00:00+08:00,6054.0,6138.0,5992.0,6104.0,309822.0,77665.0,89404.0
2020-10-15,2020-10-15 00:00:00+08:00,6126.0,6270.0,6112.0,6266.0,559919.0,89404.0,167776.0
2020-10-16,2020-10-16 00:00:00+08:00,6224.0,6454.0,6224.0,6454.0,1300979.0,167776.0,251716.0
2020-10-19,2020-10-19 00:00:00+08:00,6462.0,6596.0,6432.0,6596.0,1458246.0,251716.0,316768.0
2020-10-20,2020-10-20 00:00:00+08:00,6602.0,6618.0,6482.0,6564.0,1388290.0,316768.0,306556.0
2020-10-21,2020-10-21 00:00:00+08:00,6536.0,6586.0,6488.0,6500.0,794840.0,306556.0,288029.0
2020-10-22,2020-10-22 00:00:00+08:00,6530.0,6546.0,6274.0,6274.0,1221706.0,288029.0,224512.0
2020-10-23,2020-10-23 00:00:00+08:00,6252.0,6314.0,6214.0,6238.0,646077.0,224512.0,174759.0
2020-10-26,2020-10-26 00:00:00+08:00,6236.0,6326.0,6228.0,6254.0,479646.0,174759.0,172231.0
2020-10-27,2020-10-27 00:00:00+08:00,6218.0,6286.0,6136.0,6144.0,453060.0,172231.0,170317.0
2020-10-28,2020-10-28 00:00:00+08:00,6150.0,6206.0,6126.0,6178.0,356361.0,170317.0,163360.0
2020-10-29,2020-10-29 00:00:00+08:00,6130.0,6176.0,6052.0,6058.0,315482.0,163360.0,152349.0
2020-10-30,2020-10-30 00:00:00+08:00,6008.0,6102.0,5990.0,6016.0,237954.0,152349.0,138240.0
2020-11-02,2020-11-02 00:00:00+08:00,6010.0,6172.0,6008.0,6094.0,380653.0,138240.0,142514.0
2020-11-03,2020-11-03 00:00:00+08:00,6118.0,6162.0,6074.0,6076.0,195213.0,142514.0,145515.0
2020-11-04,2020-11-04 00:00:00+08:00,6110.0,6114.0,6026.0,6066.0,157732.0,145515.0,139596.0
2020-11-05,2020-11-05 00:00:00+08:00,6080.0,6100.0,5966.0,5982.0,159705.0,139596.0,147914.0
2020-11-06,2020-11-06 00:00:00+08:00,5990.0,6004.0,5854.0,5888.0,263988.0,147914.0,149173.0
2020-11-09,2020-11-09 00:00:00+08:00,5880.0,5926.0,5858.0,5902.0,153150.0,149173.0,145719.0
2020-11-10,2020-11-10 00:00:00+08:00,6038.0,6124.0,5944.0,6006.0,334924.0,145719.0,137063.0
2020-11-11,2020-11-11 00:00:00+08:00,6022.0,6112.0,6002.0,6066.0,217347.0,137063.0,140201.0
2020-11-12,2020-11-12 00:00:00+08:00,6080.0,6136.0,6038.0,6048.0,194634.0,140201.0,148000.0
2020-11-13,2020-11-13 00:00:00+08:00,6040.0,6070.0,5934.0,5956.0,168873.0,148000.0,145772.0
2020-11-16,2020-11-16 00:00:00+08:00,5904.0,5990.0,5894.0,5964.0,175421.0,145772.0,145686.0
2020-11-17,2020-11-17 00:00:00+08:00,5990.0,6032.0,5940.0,5968.0,158023.0,145686.0,147265.0
2020-11-18,2020-11-18 00:00:00+08:00,5960.0,6024.0,5922.0,6000.0,149577.0,147265.0,147703.0
2020-11-19,2020-11-19 00:00:00+08:00,6030.0,6032.0,5974.0,5994.0,105680.0,147703.0,146178.0
2020-11-20,2020-11-20 00:00:00+08:00,6000.0,6050.0,5972.0,6006.0,149135.0,146178.0,141034.0
2020-11-23,2020-11-23 00:00:00+08:00,6002.0,6080.0,5990.0,6040.0,108810.0,141034.0,143354.0
2020-11-24,2020-11-24 00:00:00+08:00,6048.0,6108.0,6026.0,6100.0,162979.0,143354.0,149334.0
2020-11-25,2020-11-25 00:00:00+08:00,6094.0,6144.0,6066.0,6100.0,142038.0,149334.0,145102.0
2020-11-26,2020-11-26 00:00:00+08:00,6100.0,6130.0,6046.0,6064.0,101462.0,145102.0,144093.0
2020-11-27,2020-11-27 00:00:00+08:00,6054.0,6100.0,6040.0,6096.0,77786.0,144093.0,140693.0
2020-11-30,2020-11-30 00:00:00+08:00,6104.0,6130.0,6006.0,6016.0,121528.0,140693.0,132433.0
2020-12-01,2020-12-01 00:00:00+08:00,6030.0,6062.0,6012.0,6030.0,62963.0,132433.0,133521.0
2020-12-02,2020-12-02 00:00:00+08:00,6036.0,6052.0,5942.0,5946.0,103446.0,133521.0,130763.0
2020-12-03,2020-12-03 00:00:00+08:00,5944.0,6014.0,5908.0,5988.0,108400.0,130763.0,133235.0
2020-12-04,2020-12-04 00:00:00+08:00,5990.0,6098.0,5964.0,6092.0,169067.0,133235.0,123153.0
2020-12-07,2020-12-07 00:00:00+08:00,6106.0,6250.0,6072.0,6248.0,183565.0,123153.0,127385.0
2020-12-08,2020-12-08 00:00:00+08:00,6244.0,6286.0,6168.0,6182.0,167934.0,127385.0,124591.0
2020-12-09,2020-12-09 00:00:00+08:00,6200.0,6264.0,6150.0,6192.0,126151.0,124591.0,120890.0
2020-12-10,2020-12-10 00:00:00+08:00,6198.0,6240.0,6160.0,6166.0,101269.0,120890.0,117503.0
2020-12-11,2020-12-11 00:00:00+08:00,6184.0,6270.0,6160.0,6228.0,137450.0,117503.0,116593.0
2020-12-14,2020-12-14 00:00:00+08:00,6222.0,6362.0,6222.0,6344.0,168282.0,116593.0,121355.0
2020-12-15,2020-12-15 00:00:00+08:00,6362.0,6362.0,6200.0,6278.0,109640.0,121355.0,112146.0
2020-12-16,2020-12-16 00:00:00+08:00,6290.0,6312.0,6246.0,6270.0,60191.0,112146.0,108722.0
2020-12-17,2020-12-17 00:00:00+08:00,6282.0,6338.0,6268.0,6338.0,77862.0,108722.0,113180.0
2020-12-18,2020-12-18 00:00:00+08:00,6338.0,6392.0,6284.0,6318.0,95235.0,113180.0,110392.0
2020-12-21,2020-12-21 00:00:00+08:00,6320.0,6336.0,6208.0,6266.0,84230.0,110392.0,102287.0
2020-12-22,2020-12-22 00:00:00+08:00,6266.0,6304.0,6162.0,6216.0,112532.0,102287.0,92204.0
2020-12-23,2020-12-23 00:00:00+08:00,6238.0,6262.0,6130.0,6226.0,92850.0,92204.0,90039.0
2020-12-24,2020-12-24 00:00:00+08:00,6260.0,6290.0,6216.0,6290.0,54709.0,90039.0,92485.0
2020-12-25,2020-12-25 00:00:00+08:00,6284.0,6340.0,6262.0,6304.0,90907.0,92485.0,94324.0
2020-12-28,2020-12-28 00:00:00+08:00,6322.0,6328.0,6232.0,6256.0,84325.0,94324.0,93098.0
2020-12-29,2020-12-29 00:00:00+08:00,6282.0,6286.0,6162.0,6184.0,79914.0,93098.0,96048.0
2020-12-30,2020-12-30 00:00:00+08:00,6186.0,6282.0,6180.0,6282.0,85557.0,96048.0,90496.0
2020-12-31,2020-12-31 00:00:00+08:00,6286.0,6450.0,6252.0,6422.0,154007.0,90496.0,110849.0
2021-01-04,2021-01-04 00:00:00+08:00,6400.0,6560.0,6400.0,6538.0,81076.0,110849.0,119217.0
2021-01-05,2021-01-05 00:00:00+08:00,6522.0,6696.0,6514.0,6594.0,242893.0,119217.0,130278.0
2021-01-06,2021-01-06 00:00:00+08:00,6610.0,6746.0,6580.0,6714.0,199265.0,130278.0,131341.0
2021-01-07,2021-01-07 00:00:00+08:00,6702.0,6866.0,6666.0,6848.0,166757.0,131341.0,144270.0
2021-01-08,2021-01-08 00:00:00+08:00,6844.0,6910.0,6724.0,6804.0,177939.0,144270.0,134523.0
2021-01-11,2021-01-11 00:00:00+08:00,6814.0,6818.0,6548.0,6572.0,231048.0,134523.0,115681.0
2021-01-12,2021-01-12 00:00:00+08:00,6576.0,6662.0,6512.0,6646.0,115900.0,115681.0,113051.0
2021-01-13,2021-01-13 00:00:00+08:00,6660.0,6772.0,6626.0,6726.0,152543.0,113051.0,113824.0
2021-01-14,2021-01-14 00:00:00+08:00,6712.0,6738.0,6592.0,6596.0,140959.0,113824.0,106915.0
2021-01-15,2021-01-15 00:00:00+08:00,6582.0,6682.0,6546.0,6576.0,133221.0,106915.0,112056.0
