vt_symbol,tq_symbol,bar_datetime,bar_id,open,high,low,close,volume,open_oi,close_oi
lh2509.DCE,DCE.lh2509,2025-04-03 14:59:00,27899,13865.0,13875.0,13860.0,13860.0,101.0,44380.0,44406.0
lh2509.DCE,DCE.lh2509,2025-04-07 09:00:00,27900,13895.0,13930.0,13880.0,13925.0,921.0,44406.0,44181.0
lh2509.DCE,DCE.lh2509,2025-04-07 09:01:00,27901,13925.0,13945.0,13920.0,13945.0,591.0,44181.0,43964.0
lh2509.DCE,DCE.lh2509,2025-04-07 09:02:00,27902,13945.0,13960.0,13930.0,13955.0,428.0,43964.0,43850.0
lh2509.DCE,DCE.lh2509,2025-04-07 09:03:00,27903,13955.0,14105.0,13955.0,14105.0,1181.0,43850.0,43620.0
lh2509.DCE,DCE.lh2509,2025-04-07 09:04:00,27904,14105.0,14220.0,14095.0,14145.0,1733.0,43620.0,43665.0
lh2509.DCE,DCE.lh2509,2025-04-07 09:05:00,27905,14145.0,14165.0,14080.0,14110.0,925.0,43665.0,43722.0
lh2509.DCE,DCE.lh2509,2025-04-07 09:06:00,27906,14110.0,14120.0,14085.0,14090.0,429.0,43722.0,43752.0
lh2509.DCE,DCE.lh2509,2025-04-07 09:07:00,27907,14090.0,14110.0,14085.0,14085.0,360.0,43752.0,43763.0
lh2509.DCE,DCE.lh2509,2025-04-07 09:08:00,27908,14085.0,14085.0,13955.0,14040.0,976.0,43763.0,43603.0
lh2509.DCE,DCE.lh2509,2025-04-07 09:09:00,27909,14040.0,14050.0,14015.0,14040.0,329.0,43603.0,43675.0
lh2509.DCE,DCE.lh2509,2025-04-07 09:10:00,27910,14040.0,14070.0,14040.0,14055.0,241.0,43675.0,43699.0
lh2509.DCE,DCE.lh2509,2025-04-07 09:11:00,27911,14055.0,14060.0,14030.0,14030.0,163.0,43699.0,43730.0
lh2509.DCE,DCE.lh2509,2025-04-07 09:12:00,27912,14030.0,14055.0,14030.0,14045.0,126.0,43730.0,43754.0
lh2509.DCE,DCE.lh2509,2025-04-07 09:13:00,27913,14045.0,14045.0,14005.0,14015.0,255.0,43754.0,43780.0
lh2509.DCE,DCE.lh2509,2025-04-07 09:14:00,27914,14015.0,14025.0,14000.0,14010.0,231.0,43780.0,43842.0
lh2509.DCE,DCE.lh2509,2025-04-07 09:15:00,27915,14010.0,14025.0,14005.0,14020.0,135.0,43842.0,43860.0
lh2509.DCE,DCE.lh2509,2025-04-07 09:16:00,27916,14020.0,14040.0,14015.0,14030.0,116.0,43860.0,43894.0
lh2509.DCE,DCE.lh2509,2025-04-07 09:17:00,27917,14030.0,14045.0,14030.0,14035.0,170.0,43894.0,43913.0
lh2509.DCE,DCE.lh2509,2025-04-07 09:18:00,27918,14035.0,14040.0,14025.0,14025.0,145.0,43913.0,43956.0
lh2509.DCE,DCE.lh2509,2025-04-07 09:19:00,27919,14025.0,14045.0,14025.0,14045.0,67.0,43956.0,43974.0
lh2509.DCE,DCE.lh2509,2025-04-07 09:20:00,27920,14045.0,14045.0,14030.0,14040.0,64.0,43974.0,43993.0
lh2509.DCE,DCE.lh2509,2025-04-07 09:21:00,27921,14040.0,14040.0,14010.0,14010.0,110.0,43993.0,44020.0
lh2509.DCE,DCE.lh2509,2025-04-07 09:22:00,27922,14010.0,14025.0,14010.0,14015.0,74.0,44020.0,44031.0
lh2509.DCE,DCE.lh2509,2025-04-07 09:23:00,27923,14015.0,14020.0,14010.0,14015.0,46.0,44031.0,44047.0
lh2509.DCE,DCE.lh2509,2025-04-07 09:24:00,27924,14015.0,14020.0,14010.0,14010.0,83.0,44047.0,44061.0
lh2509.DCE,DCE.lh2509,2025-04-07 09:25:00,27925,14010.0,14015.0,14005.0,14010.0,73.0,44061.0,44098.0
