trade_date,datetime,open,high,low,close,volume,open_oi,close_oi
2021-10-18,2021-10-18 00:00:00+08:00,11780.0,11780.0,11780.0,11780.0,0.0,0.0,0.0
2021-10-19,2021-10-19 00:00:00+08:00,12715.0,12715.0,12715.0,12715.0,0.0,0.0,0.0
2021-10-20,2021-10-20 00:00:00+08:00,12715.0,12715.0,12715.0,12715.0,0.0,0.0,0.0
2021-10-21,2021-10-21 00:00:00+08:00,12715.0,12715.0,12715.0,12715.0,0.0,0.0,0.0
2021-10-22,2021-10-22 00:00:00+08:00,12715.0,12715.0,12715.0,12715.0,0.0,0.0,0.0
2021-10-25,2021-10-25 00:00:00+08:00,12715.0,12715.0,12715.0,12715.0,0.0,0.0,0.0
2021-10-26,2021-10-26 00:00:00+08:00,12715.0,12715.0,12715.0,12715.0,0.0,0.0,0.0
2021-10-27,2021-10-27 00:00:00+08:00,12950.0,12950.0,12950.0,12950.0,0.0,0.0,0.0
2021-10-28,2021-10-28 00:00:00+08:00,12865.0,12865.0,12865.0,12865.0,0.0,0.0,0.0
2021-10-29,2021-10-29 00:00:00+08:00,13005.0,13005.0,13005.0,13005.0,0.0,0.0,0.0
2021-11-01,2021-11-01 00:00:00+08:00,12775.0,12775.0,12775.0,12775.0,0.0,0.0,0.0
2021-11-02,2021-11-02 00:00:00+08:00,12655.0,12655.0,12655.0,12655.0,0.0,0.0,0.0
2021-11-03,2021-11-03 00:00:00+08:00,12655.0,12655.0,12655.0,12655.0,0.0,0.0,0.0
2021-11-04,2021-11-04 00:00:00+08:00,12300.0,12300.0,12300.0,12300.0,0.0,0.0,0.0
2021-11-05,2021-11-05 00:00:00+08:00,12300.0,12300.0,12300.0,12300.0,0.0,0.0,0.0
2021-11-08,2021-11-08 00:00:00+08:00,12355.0,12355.0,12355.0,12355.0,0.0,0.0,0.0
2021-11-09,2021-11-09 00:00:00+08:00,12390.0,12390.0,12390.0,12390.0,0.0,0.0,0.0
2021-11-10,2021-11-10 00:00:00+08:00,12360.0,12360.0,12360.0,12360.0,0.0,0.0,0.0
2021-11-11,2021-11-11 00:00:00+08:00,12360.0,12360.0,12360.0,12360.0,0.0,0.0,0.0
2021-11-12,2021-11-12 00:00:00+08:00,12360.0,12360.0,12360.0,12360.0,0.0,0.0,0.0
2021-11-15,2021-11-15 00:00:00+08:00,12360.0,12360.0,12360.0,12360.0,0.0,0.0,0.0
2021-11-16,2021-11-16 00:00:00+08:00,12360.0,12360.0,12360.0,12360.0,0.0,0.0,0.0
2021-11-17,2021-11-17 00:00:00+08:00,12360.0,12360.0,12360.0,12360.0,0.0,0.0,0.0
2021-11-18,2021-11-18 00:00:00+08:00,12360.0,12360.0,12360.0,12360.0,0.0,0.0,0.0
2021-11-19,2021-11-19 00:00:00+08:00,12360.0,12360.0,12360.0,12360.0,0.0,0.0,0.0
2021-11-22,2021-11-22 00:00:00+08:00,12360.0,12360.0,12360.0,12360.0,0.0,0.0,0.0
2021-11-23,2021-11-23 00:00:00+08:00,12360.0,12360.0,12360.0,12360.0,0.0,0.0,0.0
2021-11-24,2021-11-24 00:00:00+08:00,12360.0,12360.0,12360.0,12360.0,0.0,0.0,0.0
2021-11-25,2021-11-25 00:00:00+08:00,12360.0,12360.0,12360.0,12360.0,0.0,0.0,0.0
2021-11-26,2021-11-26 00:00:00+08:00,12360.0,12360.0,12360.0,12360.0,0.0,0.0,0.0
2021-11-29,2021-11-29 00:00:00+08:00,12360.0,12360.0,12360.0,12360.0,0.0,0.0,0.0
2021-11-30,2021-11-30 00:00:00+08:00,12360.0,12360.0,12360.0,12360.0,0.0,0.0,0.0
2021-12-01,2021-12-01 00:00:00+08:00,12360.0,12360.0,12360.0,12360.0,0.0,0.0,0.0
2021-12-02,2021-12-02 00:00:00+08:00,12360.0,12360.0,12360.0,12360.0,0.0,0.0,0.0
2021-12-03,2021-12-03 00:00:00+08:00,12360.0,12360.0,12360.0,12360.0,0.0,0.0,0.0
2021-12-06,2021-12-06 00:00:00+08:00,12360.0,12360.0,12360.0,12360.0,0.0,0.0,0.0
2021-12-07,2021-12-07 00:00:00+08:00,12360.0,12360.0,12360.0,12360.0,0.0,0.0,0.0
2021-12-08,2021-12-08 00:00:00+08:00,12360.0,12360.0,12360.0,12360.0,0.0,0.0,0.0
2021-12-09,2021-12-09 00:00:00+08:00,12360.0,12360.0,12360.0,12360.0,0.0,0.0,0.0
2021-12-10,2021-12-10 00:00:00+08:00,12360.0,12360.0,12360.0,12360.0,0.0,0.0,0.0
2021-12-13,2021-12-13 00:00:00+08:00,12360.0,12360.0,12360.0,12360.0,0.0,0.0,0.0
