trade_date,datetime,open,high,low,close,volume,open_oi,close_oi
2021-04-16,2021-04-16 00:00:00+08:00,12040.0,12040.0,12040.0,12040.0,0.0,0.0,0.0
2021-04-19,2021-04-19 00:00:00+08:00,12040.0,12040.0,12040.0,12040.0,0.0,0.0,0.0
2021-04-20,2021-04-20 00:00:00+08:00,12040.0,12040.0,12040.0,12040.0,0.0,0.0,0.0
2021-04-21,2021-04-21 00:00:00+08:00,12040.0,12040.0,12040.0,12040.0,0.0,0.0,0.0
2021-04-22,2021-04-22 00:00:00+08:00,12040.0,12040.0,12040.0,12040.0,0.0,0.0,0.0
2021-04-23,2021-04-23 00:00:00+08:00,12040.0,12040.0,12040.0,12040.0,0.0,0.0,0.0
2021-04-26,2021-04-26 00:00:00+08:00,12040.0,12040.0,12040.0,12040.0,0.0,0.0,0.0
2021-04-27,2021-04-27 00:00:00+08:00,12040.0,12040.0,12040.0,12040.0,0.0,0.0,0.0
2021-04-28,2021-04-28 00:00:00+08:00,12040.0,12040.0,12040.0,12040.0,0.0,0.0,0.0
2021-04-29,2021-04-29 00:00:00+08:00,12040.0,12040.0,12040.0,12040.0,0.0,0.0,0.0
2021-04-30,2021-04-30 00:00:00+08:00,12040.0,12040.0,12040.0,12040.0,0.0,0.0,0.0
2021-05-06,2021-05-06 00:00:00+08:00,12040.0,12040.0,12040.0,12040.0,0.0,0.0,0.0
2021-05-07,2021-05-07 00:00:00+08:00,12040.0,12040.0,12040.0,12040.0,0.0,0.0,0.0
2021-05-10,2021-05-10 00:00:00+08:00,12040.0,12040.0,12040.0,12040.0,0.0,0.0,0.0
2021-05-11,2021-05-11 00:00:00+08:00,12040.0,12040.0,12040.0,12040.0,0.0,0.0,0.0
2021-05-12,2021-05-12 00:00:00+08:00,12040.0,12040.0,12040.0,12040.0,0.0,0.0,0.0
2021-05-13,2021-05-13 00:00:00+08:00,12040.0,12040.0,12040.0,12040.0,0.0,0.0,0.0
2021-05-14,2021-05-14 00:00:00+08:00,12040.0,12040.0,12040.0,12040.0,0.0,0.0,0.0
2021-05-17,2021-05-17 00:00:00+08:00,12040.0,12040.0,12040.0,12040.0,0.0,0.0,0.0
2021-05-18,2021-05-18 00:00:00+08:00,12040.0,12040.0,12040.0,12040.0,0.0,0.0,0.0
2021-05-19,2021-05-19 00:00:00+08:00,12040.0,12040.0,12040.0,12040.0,0.0,0.0,0.0
2021-05-20,2021-05-20 00:00:00+08:00,12040.0,12040.0,12040.0,12040.0,0.0,0.0,0.0
2021-05-21,2021-05-21 00:00:00+08:00,12040.0,12040.0,12040.0,12040.0,0.0,0.0,0.0
2021-05-24,2021-05-24 00:00:00+08:00,12040.0,12040.0,12040.0,12040.0,0.0,0.0,0.0
2021-05-25,2021-05-25 00:00:00+08:00,12040.0,12040.0,12040.0,12040.0,0.0,0.0,0.0
2021-05-26,2021-05-26 00:00:00+08:00,12040.0,12040.0,12040.0,12040.0,0.0,0.0,0.0
2021-05-27,2021-05-27 00:00:00+08:00,12040.0,12040.0,12040.0,12040.0,0.0,0.0,0.0
2021-05-28,2021-05-28 00:00:00+08:00,12040.0,12040.0,12040.0,12040.0,0.0,0.0,0.0
2021-05-31,2021-05-31 00:00:00+08:00,12040.0,12040.0,12040.0,12040.0,0.0,0.0,0.0
2021-06-01,2021-06-01 00:00:00+08:00,12040.0,12040.0,12040.0,12040.0,0.0,0.0,0.0
2021-06-02,2021-06-02 00:00:00+08:00,12040.0,12040.0,12040.0,12040.0,0.0,0.0,0.0
2021-06-03,2021-06-03 00:00:00+08:00,12040.0,12040.0,12040.0,12040.0,0.0,0.0,0.0
2021-06-04,2021-06-04 00:00:00+08:00,12040.0,12040.0,12040.0,12040.0,0.0,0.0,0.0
2021-06-07,2021-06-07 00:00:00+08:00,12040.0,12040.0,12040.0,12040.0,0.0,0.0,0.0
2021-06-08,2021-06-08 00:00:00+08:00,12040.0,12040.0,12040.0,12040.0,0.0,0.0,0.0
2021-06-09,2021-06-09 00:00:00+08:00,12040.0,12040.0,12040.0,12040.0,0.0,0.0,0.0
2021-06-10,2021-06-10 00:00:00+08:00,11900.0,11900.0,11900.0,11900.0,0.0,0.0,0.0
2021-06-11,2021-06-11 00:00:00+08:00,11900.0,11900.0,11900.0,11900.0,0.0,0.0,0.0
2021-06-15,2021-06-15 00:00:00+08:00,11900.0,11900.0,11900.0,11900.0,0.0,0.0,0.0
2021-06-16,2021-06-16 00:00:00+08:00,11900.0,11900.0,11900.0,11900.0,0.0,0.0,0.0
2021-06-17,2021-06-17 00:00:00+08:00,11900.0,11900.0,11900.0,11900.0,0.0,0.0,0.0
2021-06-18,2021-06-18 00:00:00+08:00,11900.0,11900.0,11900.0,11900.0,0.0,0.0,0.0
2021-06-21,2021-06-21 00:00:00+08:00,11770.0,11770.0,11770.0,11770.0,0.0,0.0,0.0
2021-06-22,2021-06-22 00:00:00+08:00,11770.0,11770.0,11770.0,11770.0,0.0,0.0,0.0
2021-06-23,2021-06-23 00:00:00+08:00,11770.0,11770.0,11770.0,11770.0,0.0,0.0,0.0
