vt_symbol,tq_symbol,bar_datetime,bar_id,open,high,low,close,volume,open_oi,close_oi
cu2409.SHFE,SHFE.cu2409,2024-07-19 14:59:00,91996,76720.0,76760.0,76720.0,76740.0,494.0,178872.0,178819.0
cu2409.SHFE,SHFE.cu2409,2024-07-19 21:00:00,91997,76120.0,76520.0,76120.0,76490.0,5427.0,178819.0,177301.0
cu2409.SHFE,SHFE.cu2409,2024-07-19 21:01:00,91998,76490.0,76560.0,76450.0,76550.0,1567.0,177301.0,177263.0
cu2409.SHFE,SHFE.cu2409,2024-07-19 21:02:00,91999,76550.0,76560.0,76470.0,76470.0,825.0,177263.0,177303.0
cu2409.SHFE,SHFE.cu2409,2024-07-19 21:03:00,92000,76470.0,76520.0,76450.0,76510.0,649.0,177303.0,177370.0
cu2409.SHFE,SHFE.cu2409,2024-07-19 21:04:00,92001,76510.0,76520.0,76480.0,76480.0,249.0,177370.0,177367.0
cu2409.SHFE,SHFE.cu2409,2024-07-19 21:05:00,92002,76480.0,76510.0,76460.0,76500.0,376.0,177367.0,177376.0
cu2409.SHFE,SHFE.cu2409,2024-07-19 21:06:00,92003,76500.0,76500.0,76430.0,76440.0,483.0,177376.0,177507.0
cu2409.SHFE,SHFE.cu2409,2024-07-19 21:07:00,92004,76440.0,76510.0,76440.0,76490.0,352.0,177507.0,177583.0
cu2409.SHFE,SHFE.cu2409,2024-07-19 21:08:00,92005,76490.0,76490.0,76380.0,76380.0,599.0,177583.0,177751.0
cu2409.SHFE,SHFE.cu2409,2024-07-19 21:09:00,92006,76380.0,76410.0,76360.0,76400.0,412.0,177751.0,177788.0
cu2409.SHFE,SHFE.cu2409,2024-07-19 21:10:00,92007,76400.0,76400.0,76370.0,76390.0,360.0,177788.0,177833.0
cu2409.SHFE,SHFE.cu2409,2024-07-19 21:11:00,92008,76390.0,76410.0,76360.0,76400.0,379.0,177833.0,177892.0
cu2409.SHFE,SHFE.cu2409,2024-07-19 21:12:00,92009,76400.0,76400.0,76350.0,76360.0,267.0,177892.0,177961.0
cu2409.SHFE,SHFE.cu2409,2024-07-19 21:13:00,92010,76360.0,76370.0,76350.0,76370.0,296.0,177961.0,177982.0
cu2409.SHFE,SHFE.cu2409,2024-07-19 21:14:00,92011,76370.0,76370.0,76310.0,76310.0,398.0,177982.0,178001.0
cu2409.SHFE,SHFE.cu2409,2024-07-19 21:15:00,92012,76310.0,76350.0,76300.0,76330.0,784.0,178001.0,178004.0
cu2409.SHFE,SHFE.cu2409,2024-07-19 21:16:00,92013,76330.0,76400.0,76300.0,76370.0,1066.0,178004.0,178389.0
cu2409.SHFE,SHFE.cu2409,2024-07-19 21:17:00,92014,76370.0,76390.0,76310.0,76330.0,566.0,178389.0,178442.0
cu2409.SHFE,SHFE.cu2409,2024-07-19 21:18:00,92015,76330.0,76340.0,76260.0,76280.0,958.0,178442.0,178305.0
cu2409.SHFE,SHFE.cu2409,2024-07-19 21:19:00,92016,76280.0,76320.0,76260.0,76310.0,1023.0,178305.0,178174.0
cu2409.SHFE,SHFE.cu2409,2024-07-19 21:20:00,92017,76310.0,76310.0,76270.0,76280.0,254.0,178174.0,178252.0
cu2409.SHFE,SHFE.cu2409,2024-07-19 21:21:00,92018,76280.0,76280.0,76240.0,76280.0,710.0,178252.0,178499.0
cu2409.SHFE,SHFE.cu2409,2024-07-19 21:22:00,92019,76280.0,76280.0,76240.0,76260.0,397.0,178499.0,178520.0
cu2409.SHFE,SHFE.cu2409,2024-07-19 21:23:00,92020,76260.0,76260.0,76220.0,76220.0,1206.0,178520.0,179084.0
cu2409.SHFE,SHFE.cu2409,2024-07-19 21:24:00,92021,76220.0,76220.0,76150.0,76160.0,1615.0,179084.0,179138.0
cu2409.SHFE,SHFE.cu2409,2024-07-19 21:25:00,92022,76160.0,76210.0,76160.0,76210.0,532.0,179138.0,179258.0
cu2409.SHFE,SHFE.cu2409,2024-07-19 21:26:00,92023,76210.0,76220.0,76180.0,76220.0,313.0,179258.0,179284.0
cu2409.SHFE,SHFE.cu2409,2024-07-19 21:27:00,92024,76220.0,76230.0,76190.0,76190.0,201.0,179284.0,179301.0
cu2409.SHFE,SHFE.cu2409,2024-07-19 21:28:00,92025,76190.0,76220.0,76180.0,76190.0,363.0,179301.0,179349.0
cu2409.SHFE,SHFE.cu2409,2024-07-19 21:29:00,92026,76190.0,76210.0,76180.0,76190.0,495.0,179349.0,179395.0
cu2409.SHFE,SHFE.cu2409,2024-07-19 21:30:00,92027,76190.0,76220.0,76180.0,76200.0,456.0,179395.0,179371.0
cu2409.SHFE,SHFE.cu2409,2024-07-19 21:31:00,92028,76200.0,76220.0,76180.0,76210.0,225.0,179371.0,179343.0
cu2409.SHFE,SHFE.cu2409,2024-07-19 21:32:00,92029,76210.0,76270.0,76210.0,76250.0,374.0,179343.0,179286.0
cu2409.SHFE,SHFE.cu2409,2024-07-19 21:33:00,92030,76250.0,76320.0,76250.0,76290.0,665.0,179286.0,179132.0
cu2409.SHFE,SHFE.cu2409,2024-07-19 21:34:00,92031,76290.0,76330.0,76280.0,76310.0,348.0,179132.0,179021.0
cu2409.SHFE,SHFE.cu2409,2024-07-19 21:35:00,92032,76310.0,76380.0,76310.0,76360.0,528.0,179021.0,179004.0
cu2409.SHFE,SHFE.cu2409,2024-07-19 21:36:00,92033,76360.0,76420.0,76350.0,76410.0,694.0,179004.0,178909.0
cu2409.SHFE,SHFE.cu2409,2024-07-19 21:37:00,92034,76410.0,76420.0,76330.0,76350.0,274.0,178909.0,178883.0
cu2409.SHFE,SHFE.cu2409,2024-07-19 21:38:00,92035,76350.0,76370.0,76320.0,76370.0,277.0,178883.0,178858.0
cu2409.SHFE,SHFE.cu2409,2024-07-19 21:39:00,92036,76370.0,76370.0,76340.0,76360.0,122.0,178858.0,178811.0
cu2409.SHFE,SHFE.cu2409,2024-07-19 21:40:00,92037,76360.0,76420.0,76360.0,76390.0,261.0,178811.0,178735.0
cu2409.SHFE,SHFE.cu2409,2024-07-19 21:41:00,92038,76390.0,76420.0,76380.0,76390.0,411.0,178735.0,178745.0
cu2409.SHFE,SHFE.cu2409,2024-07-19 21:42:00,92039,76390.0,76420.0,76370.0,76390.0,127.0,178745.0,178741.0
cu2409.SHFE,SHFE.cu2409,2024-07-19 21:43:00,92040,76390.0,76440.0,76370.0,76430.0,194.0,178741.0,178742.0
cu2409.SHFE,SHFE.cu2409,2024-07-19 21:44:00,92041,76430.0,76430.0,76390.0,76390.0,289.0,178742.0,178779.0
cu2409.SHFE,SHFE.cu2409,2024-07-19 21:45:00,92042,76390.0,76390.0,76360.0,76380.0,129.0,178779.0,178778.0
cu2409.SHFE,SHFE.cu2409,2024-07-19 21:46:00,92043,76380.0,76430.0,76360.0,76420.0,245.0,178778.0,178812.0
cu2409.SHFE,SHFE.cu2409,2024-07-19 21:47:00,92044,76420.0,76470.0,76420.0,76460.0,507.0,178812.0,178897.0
cu2409.SHFE,SHFE.cu2409,2024-07-19 21:48:00,92045,76460.0,76490.0,76450.0,76490.0,253.0,178897.0,178884.0
cu2409.SHFE,SHFE.cu2409,2024-07-19 21:49:00,92046,76490.0,76490.0,76440.0,76440.0,214.0,178884.0,178936.0
cu2409.SHFE,SHFE.cu2409,2024-07-19 21:50:00,92047,76440.0,76470.0,76410.0,76410.0,233.0,178936.0,178934.0
cu2409.SHFE,SHFE.cu2409,2024-07-19 21:51:00,92048,76410.0,76470.0,76410.0,76460.0,185.0,178934.0,178977.0
cu2409.SHFE,SHFE.cu2409,2024-07-19 21:52:00,92049,76460.0,76540.0,76450.0,76520.0,433.0,178977.0,179023.0
cu2409.SHFE,SHFE.cu2409,2024-07-19 21:53:00,92050,76520.0,76560.0,76520.0,76550.0,402.0,179023.0,178917.0
cu2409.SHFE,SHFE.cu2409,2024-07-19 21:54:00,92051,76550.0,76550.0,76510.0,76520.0,170.0,178917.0,178903.0
cu2409.SHFE,SHFE.cu2409,2024-07-19 21:55:00,92052,76520.0,76520.0,76470.0,76500.0,198.0,178903.0,178872.0
cu2409.SHFE,SHFE.cu2409,2024-07-19 21:56:00,92053,76500.0,76580.0,76500.0,76570.0,386.0,178872.0,178914.0
cu2409.SHFE,SHFE.cu2409,2024-07-19 21:57:00,92054,76570.0,76580.0,76530.0,76530.0,312.0,178914.0,178834.0
cu2409.SHFE,SHFE.cu2409,2024-07-19 21:58:00,92055,76530.0,76550.0,76520.0,76540.0,166.0,178834.0,178774.0
cu2409.SHFE,SHFE.cu2409,2024-07-19 21:59:00,92056,76540.0,76550.0,76520.0,76530.0,104.0,178774.0,178780.0
cu2409.SHFE,SHFE.cu2409,2024-07-19 22:00:00,92057,76530.0,76550.0,76470.0,76490.0,159.0,178780.0,178751.0
cu2409.SHFE,SHFE.cu2409,2024-07-19 22:01:00,92058,76490.0,76510.0,76480.0,76500.0,126.0,178751.0,178809.0
cu2409.SHFE,SHFE.cu2409,2024-07-19 22:02:00,92059,76500.0,76500.0,76470.0,76470.0,118.0,178809.0,178829.0
cu2409.SHFE,SHFE.cu2409,2024-07-19 22:03:00,92060,76470.0,76480.0,76440.0,76460.0,221.0,178829.0,178794.0
cu2409.SHFE,SHFE.cu2409,2024-07-19 22:04:00,92061,76460.0,76480.0,76430.0,76440.0,145.0,178794.0,178813.0
cu2409.SHFE,SHFE.cu2409,2024-07-19 22:05:00,92062,76440.0,76470.0,76430.0,76440.0,172.0,178813.0,178817.0
cu2409.SHFE,SHFE.cu2409,2024-07-19 22:06:00,92063,76440.0,76460.0,76420.0,76440.0,132.0,178817.0,178835.0
cu2409.SHFE,SHFE.cu2409,2024-07-19 22:07:00,92064,76440.0,76470.0,76430.0,76440.0,156.0,178835.0,178819.0
cu2409.SHFE,SHFE.cu2409,2024-07-19 22:08:00,92065,76440.0,76480.0,76430.0,76460.0,131.0,178819.0,178830.0
cu2409.SHFE,SHFE.cu2409,2024-07-19 22:09:00,92066,76460.0,76520.0,76460.0,76520.0,275.0,178830.0,178766.0
cu2409.SHFE,SHFE.cu2409,2024-07-19 22:10:00,92067,76520.0,76520.0,76460.0,76460.0,117.0,178766.0,178739.0
cu2409.SHFE,SHFE.cu2409,2024-07-19 22:11:00,92068,76460.0,76530.0,76450.0,76500.0,162.0,178739.0,178721.0
cu2409.SHFE,SHFE.cu2409,2024-07-19 22:12:00,92069,76500.0,76520.0,76480.0,76500.0,65.0,178721.0,178724.0
cu2409.SHFE,SHFE.cu2409,2024-07-19 22:13:00,92070,76500.0,76500.0,76440.0,76440.0,108.0,178724.0,178713.0
cu2409.SHFE,SHFE.cu2409,2024-07-19 22:14:00,92071,76440.0,76450.0,76400.0,76420.0,253.0,178713.0,178655.0
cu2409.SHFE,SHFE.cu2409,2024-07-19 22:15:00,92072,76420.0,76450.0,76400.0,76450.0,151.0,178655.0,178618.0
cu2409.SHFE,SHFE.cu2409,2024-07-19 22:16:00,92073,76450.0,76460.0,76410.0,76430.0,131.0,178618.0,178644.0
cu2409.SHFE,SHFE.cu2409,2024-07-19 22:17:00,92074,76430.0,76450.0,76430.0,76430.0,101.0,178644.0,178664.0
cu2409.SHFE,SHFE.cu2409,2024-07-19 22:18:00,92075,76430.0,76460.0,76420.0,76430.0,73.0,178664.0,178694.0
cu2409.SHFE,SHFE.cu2409,2024-07-19 22:19:00,92076,76430.0,76440.0,76410.0,76430.0,45.0,178694.0,178697.0
cu2409.SHFE,SHFE.cu2409,2024-07-19 22:20:00,92077,76430.0,76450.0,76410.0,76420.0,69.0,178697.0,178694.0
cu2409.SHFE,SHFE.cu2409,2024-07-19 22:21:00,92078,76420.0,76430.0,76410.0,76420.0,33.0,178694.0,178686.0
cu2409.SHFE,SHFE.cu2409,2024-07-19 22:22:00,92079,76420.0,76440.0,76410.0,76410.0,104.0,178686.0,178693.0
cu2409.SHFE,SHFE.cu2409,2024-07-19 22:23:00,92080,76410.0,76420.0,76380.0,76400.0,146.0,178693.0,178717.0
cu2409.SHFE,SHFE.cu2409,2024-07-19 22:24:00,92081,76400.0,76400.0,76360.0,76370.0,187.0,178717.0,178692.0
cu2409.SHFE,SHFE.cu2409,2024-07-19 22:25:00,92082,76370.0,76400.0,76370.0,76390.0,43.0,178692.0,178704.0
cu2409.SHFE,SHFE.cu2409,2024-07-19 22:26:00,92083,76390.0,76400.0,76380.0,76380.0,113.0,178704.0,178720.0
cu2409.SHFE,SHFE.cu2409,2024-07-19 22:27:00,92084,76380.0,76400.0,76380.0,76390.0,57.0,178720.0,178718.0
cu2409.SHFE,SHFE.cu2409,2024-07-19 22:28:00,92085,76390.0,76400.0,76380.0,76390.0,57.0,178718.0,178725.0
